X Y Z dcp
6.690000057220458984e+00 5.000000000000000000e-01 1.319463491439819336e+00 2.711600542068481445e+00
6.796100139617919922e+00 5.000000000000000000e-01 1.315763473510742188e+00 1.790624976158142090e+00
6.902200222015380859e+00 5.000000000000000000e-01 1.312063455581665039e+00 6.043759584426879883e-01
7.008299827575683594e+00 5.000000000000000000e-01 1.308363437652587891e+00 1.643264889717102051e-01
7.114399909973144531e+00 5.000000000000000000e-01 1.304663419723510742e+00 5.054526031017303467e-02
7.220499992370605469e+00 5.000000000000000000e-01 1.300963401794433594e+00 1.739172451198101044e-02
7.326600074768066406e+00 5.000000000000000000e-01 1.297263503074645996e+00 2.442608587443828583e-03
7.432700157165527344e+00 5.000000000000000000e-01 1.293563485145568848e+00 1.071195001713931561e-03
7.538799762725830078e+00 5.000000000000000000e-01 1.289863467216491699e+00 1.548390253446996212e-03
7.644899845123291016e+00 5.000000000000000000e-01 1.286163449287414551e+00 2.349195303395390511e-03
7.750999927520751953e+00 5.000000000000000000e-01 1.282365798950195312e+00 2.453975612297654152e-03
7.856999874114990234e+00 5.000000000000000000e-01 1.278663396835327148e+00 2.168146194890141487e-03
7.963099956512451172e+00 5.000000000000000000e-01 1.274963498115539551e+00 1.289170817472040653e-03
8.069199562072753906e+00 5.000000000000000000e-01 1.271263480186462402e+00 3.048780781682580709e-04
8.175299644470214844e+00 5.000000000000000000e-01 1.267563462257385254e+00 -9.142195340245962143e-04
8.281399726867675781e+00 5.000000000000000000e-01 1.263863444328308105e+00 -2.034048782661557198e-03
8.387499809265136719e+00 5.000000000000000000e-01 1.260163426399230957e+00 -3.020536620169878006e-03
8.493599891662597656e+00 5.000000000000000000e-01 1.256463408470153809e+00 -3.826048923656344414e-03
8.599699974060058594e+00 5.000000000000000000e-01 1.252763509750366211e+00 -4.181414842605590820e-03
8.705800056457519531e+00 5.000000000000000000e-01 1.249063491821289062e+00 -3.592609660699963570e-03
8.811900138854980469e+00 5.000000000000000000e-01 1.245363473892211914e+00 -2.730829175561666489e-03
